run_accession,analysis_accession,sample_accession,study_accession,analysis_type,tax_id,scientific_name,submitted_ftp,study_accession,experiment_accession,fastq_ftp,submitted_ftp,sra_ftp,bam_match,samplename
ERR3572877,ERZ2271190,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2271190/ERR3572877.fasta.gz,PRJEB34634,ERX3571115,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/007/ERR3572877/ERR3572877_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/007/ERR3572877/ERR3572877_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572877/WTCHG_670349_255123.bam,,WTCHG_670349_255123,DID-DW-1000-SUM
ERR3572878,ERZ2270245,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2270245/ERR3572878.fasta.gz,PRJEB34634,ERX3571116,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/008/ERR3572878/ERR3572878_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/008/ERR3572878/ERR3572878_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572878/WTCHG_670347_255123.bam,,WTCHG_670347_255123,DID-DW-1000-SUM
ERR3572879,ERZ2272586,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2272586/ERR3572879.fasta.gz,PRJEB34634,ERX3571117,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/009/ERR3572879/ERR3572879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/009/ERR3572879/ERR3572879_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572879/WTCHG_670345_255123.bam,,WTCHG_670345_255123,DID-DW-1000-SUM
ERR3572880,ERZ2271971,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2271971/ERR3572880.fasta.gz,PRJEB34634,ERX3571118,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/000/ERR3572880/ERR3572880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/000/ERR3572880/ERR3572880_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572880/WTCHG_670344_255123.bam,,WTCHG_670344_255123,DID-DW-1000-SUM
ERR3572881,ERZ2272728,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2272728/ERR3572881.fasta.gz,PRJEB34634,ERX3571119,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/001/ERR3572881/ERR3572881_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/001/ERR3572881/ERR3572881_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572881/WTCHG_664453_255123.bam,,WTCHG_664453_255123,DID-DW-1000-SUM
ERR3572882,ERZ2270290,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2270290/ERR3572882.fasta.gz,PRJEB34634,ERX3571120,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/002/ERR3572882/ERR3572882_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/002/ERR3572882/ERR3572882_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572882/WTCHG_670348_250183.bam,,WTCHG_670348_250183,DID-DW-1000-WIN
ERR3572883,ERZ2272057,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2272057/ERR3572883.fasta.gz,PRJEB34634,ERX3571121,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/003/ERR3572883/ERR3572883_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/003/ERR3572883/ERR3572883_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572883/WTCHG_670347_250183.bam,,WTCHG_670347_250183,DID-DW-1000-WIN
ERR3572884,ERZ2226976,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ222/ERZ2226976/ERR3572884.fasta.gz,PRJEB34634,ERX3571122,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/004/ERR3572884/ERR3572884_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/004/ERR3572884/ERR3572884_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572884/WTCHG_670349_250183.bam,,WTCHG_670349_250183,DID-DW-1000-WIN
ERR3572885,ERZ2272389,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2272389/ERR3572885.fasta.gz,PRJEB34634,ERX3571123,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/005/ERR3572885/ERR3572885_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/005/ERR3572885/ERR3572885_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572885/WTCHG_670346_250183.bam,,WTCHG_670346_250183,DID-DW-1000-WIN
ERR3572886,ERZ2270937,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2270937/ERR3572886.fasta.gz,PRJEB34634,ERX3571124,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/006/ERR3572886/ERR3572886_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/006/ERR3572886/ERR3572886_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572886/WTCHG_670344_250183.bam,,WTCHG_670344_250183,DID-DW-1000-WIN
ERR3572887,ERZ2272080,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2272080/ERR3572887.fasta.gz,PRJEB34634,ERX3571125,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/007/ERR3572887/ERR3572887_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/007/ERR3572887/ERR3572887_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572887/WTCHG_670345_250183.bam,,WTCHG_670345_250183,DID-DW-1000-WIN
ERR3572888,ERZ2272661,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2272661/ERR3572888.fasta.gz,PRJEB34634,ERX3571126,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/008/ERR3572888/ERR3572888_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/008/ERR3572888/ERR3572888_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572888/WTCHG_664453_250183.bam,,WTCHG_664453_250183,DID-DW-1000-WIN
ERR3572889,ERZ2272261,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2272261/ERR3572889.fasta.gz,PRJEB34634,ERX3571127,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/009/ERR3572889/ERR3572889_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/009/ERR3572889/ERR3572889_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572889/WTCHG_670347_243172.bam,,WTCHG_670347_243172,DID-DW-250-AUT
ERR3572890,ERZ2272476,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2272476/ERR3572890.fasta.gz,PRJEB34634,ERX3571128,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/000/ERR3572890/ERR3572890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/000/ERR3572890/ERR3572890_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572890/WTCHG_670344_243172.bam,,WTCHG_670344_243172,DID-DW-250-AUT
